City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Nikolskoye,RU,59.7035,30.7861,6.69,100,98,1.14,Overcast clouds
1,Tocopilla,CL,-22.092,-70.1979,72.81,70,19,12.06,Few clouds
2,Avarua,CK,-21.2078,-159.775,80.65,83,75,16.11,Broken clouds
3,Pangai,TO,-19.8,-174.35,81.5,79,91,20.76,Light rain
4,Ankazoabo,MG,-22.2833,44.5167,76.14,60,0,5.23,Clear sky
5,Port Blair,IN,11.6667,92.75,75.18,77,5,7.49,Clear sky
6,Gunjur,GM,13.2019,-16.7339,74.61,64,0,10.85,Clear sky
7,Namatanai,PG,-3.6667,152.4333,78.64,81,87,9.64,Overcast clouds
8,Shiggaon,IN,15.0,75.2333,63.16,91,0,9.78,Clear sky
9,Albany,US,42.6001,-73.9662,42.82,90,100,1.57,Moderate rain
10,Busselton,AU,-33.65,115.3333,79.05,40,53,8.86,Broken clouds
11,Hilo,US,19.7297,-155.09,74.93,66,0,4.61,Clear sky
12,Mahebourg,MU,-20.4081,57.7,80.26,89,100,26.73,Moderate rain
13,Hermanus,ZA,-34.4187,19.2345,64.9,78,2,8.75,Clear sky
14,Atuona,PF,-9.8,-139.0333,78.31,71,0,15.37,Clear sky
15,Hun,LY,29.1268,15.9477,55.42,48,4,8.97,Clear sky
16,Hammerfest,NO,70.6634,23.6821,24.53,68,0,6.91,Clear sky
17,Torbay,CA,47.6666,-52.7314,35.38,80,100,8.01,Overcast clouds
18,Patharia,IN,23.9,79.2,61.02,37,0,10.11,Clear sky
19,New Norfolk,AU,-42.7826,147.0587,47.71,73,14,2.62,Few clouds
20,Hobart,AU,-42.8794,147.3294,48.06,87,20,1.99,Few clouds
21,Jamestown,US,42.097,-79.2353,32.09,55,100,12.66,Snow
22,Cidreira,BR,-30.1811,-50.2056,80.4,75,66,17.56,Broken clouds
23,Naryan-Mar,RU,67.6713,53.087,-1.61,100,97,4.5,Overcast clouds
24,Juneau,US,58.3019,-134.4197,26.83,95,100,0.0,Snow
25,Saint-Pierre,RE,-21.3393,55.4781,80.24,89,100,30.6,Heavy intensity rain
26,Port Hedland,AU,-20.3167,118.5667,78.85,78,62,6.91,Broken clouds
27,Kapaa,US,22.0752,-159.319,73.72,77,0,12.66,Clear sky
28,Noumea,NC,-22.2763,166.4572,75.18,82,93,2.98,Light rain
29,Rocha,UY,-34.4833,-54.3333,79.57,71,100,10.87,Overcast clouds
30,Georgetown,MY,5.4112,100.3354,82.33,85,40,0.0,Scattered clouds
31,Plettenberg Bay,ZA,-34.0527,23.3716,66.11,79,100,9.06,Overcast clouds
32,Havelock,US,34.8791,-76.9013,71.06,70,100,8.99,Overcast clouds
33,Clyde River,CA,70.4692,-68.5914,-11.11,98,100,9.57,Light snow
34,Narsaq,GL,60.9167,-46.05,25.83,97,100,8.81,Snow
35,Whitehorse,CA,60.7161,-135.0538,-10.43,70,100,0.0,Light snow
36,Mount Isa,AU,-20.7333,139.5,71.37,46,40,8.05,Scattered clouds
37,Upernavik,GL,72.7868,-56.1549,-4.9,64,100,4.63,Overcast clouds
38,Ushuaia,AR,-54.8,-68.3,47.82,61,75,19.57,Broken clouds
39,Kidal,ML,18.4411,1.4078,68.67,12,4,12.12,Clear sky
40,Prieska,ZA,-29.6641,22.7474,77.5,38,2,6.6,Clear sky
41,Sembe,CG,1.6481,14.5806,81.84,46,100,1.83,Overcast clouds
42,Akyab,MM,20.15,92.9,65.64,69,3,5.97,Clear sky
43,Luena,AO,-11.7833,19.9167,62.64,99,100,4.07,Light rain
44,Hithadhoo,MV,-0.6,73.0833,81.57,71,55,6.78,Broken clouds
45,De Aar,ZA,-30.6497,24.0123,72.01,36,0,7.52,Clear sky
46,Souillac,MU,-20.5167,57.5167,80.37,89,100,24.38,Light rain
47,Chuy,UY,-33.6971,-53.4616,84.54,62,61,13.38,Broken clouds
48,Tyazhinskiy,RU,56.116,88.524,5.85,97,100,5.19,Overcast clouds
49,Uni,RU,57.7535,51.4923,3.65,100,100,3.06,Overcast clouds
50,Kargasok,RU,59.0556,80.8572,9.59,97,70,7.87,Broken clouds
51,Punta Arenas,CL,-53.15,-70.9167,50.02,53,0,4.61,Clear sky
52,Port Elizabeth,ZA,-33.918,25.5701,68.09,74,94,16.53,Overcast clouds
53,Mar Del Plata,AR,-38.0023,-57.5575,75.22,90,75,5.99,Broken clouds
54,Pangody,RU,65.85,74.4859,0.46,99,95,5.88,Overcast clouds
55,Tiksi,RU,71.6872,128.8694,-10.23,100,100,4.12,Overcast clouds
56,Amalapuram,IN,16.5833,82.0167,67.3,88,10,1.81,Clear sky
57,Caravelas,BR,-17.7125,-39.2481,83.91,62,88,8.9,Overcast clouds
58,Ribeira Grande,PT,38.5167,-28.7,61.2,72,20,12.66,Few clouds
59,Mataura,NZ,-46.1927,168.8643,51.48,98,100,0.51,Light rain
60,Banfora,BF,10.6333,-4.7667,81.46,9,57,5.06,Broken clouds
61,Ilulissat,GL,69.2167,-51.1,17.62,49,75,24.16,Broken clouds
